Objective,KL,JS
1,0.41879145348228525,0.3840494931955494
6,0.5217880839329813,0.44435032172084765
11,0.349326236094065,0.37924970625856147
16,0.332864959257323,0.3876781046941424
21,0.31805079634159383,0.37463776301959023
26,0.26987074612464323,0.36876123015839934
31,0.2379232571444077,0.35641540293079255
36,0.23579963904530007,0.343014199725226
41,0.23034707928929182,0.34590537605985344
46,0.2284140913200209,0.3525593416309183
51,0.21563197177911383,0.3309433077561264
56,0.21324370453707955,0.34490216872458945
61,0.21201893334747257,0.32876159309861863
66,0.19655341062125437,0.3356899997913802
71,0.19636080420372212,0.3444047492962799
76,0.19685024021929678,0.3464458269962889
81,0.20032661296484233,0.3404381278566468
86,0.1993838459975016,0.309463253514044
91,0.19048653807678398,0.3188104819057313
96,0.1892408137326415,0.3420726333062358
101,0.1953257460209371,0.3015543448905581
106,0.17937279139215773,0.3273330809877029
111,0.18430887054020106,0.3182566286786981
116,0.18445948234201429,0.3272910819018054
121,0.1909481663354014,0.3236277608298785
126,0.18941254296067078,0.31496308732820755
131,0.18039863910416465,0.3224308585800235
136,0.18316565963796957,0.3415765895712892
141,0.17300786222598624,0.3320819690589659
146,0.17796529145510068,0.3281832216011694
151,0.1699270121106533,0.3083867756651821
156,0.17915294283455158,0.33954184363389656
161,0.178673938959671,0.31838809201772805
166,0.17662682539326627,0.3262993245836163
171,0.1731361643300343,0.3173407429663261
176,0.17563231050687683,0.3413006335987867
181,0.17272129251036478,0.328757395266717
186,0.17121463729438663,0.3364908894228229
191,0.17556804343469687,0.3242845552553248
196,0.1743964948105817,0.32168618556526857
201,0.17200166735571865,0.32881299716527357
